addr,domain,date_added,domain_percent_increase
August.Walsh@liardomain.net,liardomain.net,2015-06-02,0
August.Watson@bogusmail.com,bogusmail.com,2014-11-16,0
August.Yu@fakebusiness.ca,fakebusiness.ca,2014-02-14,0
Becki.Arellano@sympatico.com,sympatico.com,2014-08-18,0.000444
Becki.Barron@gmail.edu,gmail.edu,2015-01-29,0.001775
Becki.Bautista@comcast.edu,comcast.edu,2015-05-06,0.000444
Becki.Case@aol.biz,aol.biz,2015-01-03,0.000444
Becki.Case@comcast.ca,comcast.ca,2015-01-30,0.000444
Becki.Case@phonybusiness.mobi,phonybusiness.mobi,2014-09-14,0
Becki.Clarke@hushmail.ca,hushmail.ca,2014-12-15,0
Becki.Davies@gmail.net,gmail.net,2015-06-22,0.001331
Becki.Davies@sympatico.edu,sympatico.edu,2014-11-29,0
Becki.Dillon@gmail.co,gmail.co,2015-03-17,0.000887
Becki.Dominguez@msn.edu,msn.edu,2014-09-02,0
Becki.Dyer@hotmail.com,hotmail.com,2015-05-23,0.000887
Becki.English@gmail.mil,gmail.mil,2014-10-31,0
Becki.Frederick@pseudobusiness.com,pseudobusiness.com,2015-06-02,0
Becki.Frederick@yahoo.co,yahoo.co,2014-05-22,0.000887
Becki.French@gmail.eu,gmail.eu,2014-12-21,0
Becki.French@yahoo.ao,yahoo.ao,2015-07-02,0.000444
Becki.Garrison@yahoo.edu,yahoo.edu,2015-06-28,0
Becki.Gomez@comcast.com,comcast.com,2015-07-24,0.001331
Becki.Gray@hotmail.ca,hotmail.ca,2014-10-14,0.00488
Becki.Haas@gmail.ca,gmail.ca,2015-02-16,0.001331
Becki.Hebert@comcast.edu,comcast.edu,2014-06-06,0.000444
Becki.Hodges@aol.ca,aol.ca,2015-02-16,0.000887
Becki.Hoover@gmail.uk,gmail.uk,2015-05-16,0.000887
Becki.Hoover@yahoo.ca,yahoo.ca,2015-05-16,0.003106
Becki.Kent@yahoo.ca,yahoo.ca,2015-07-16,0.003106
Becki.Macias@hotmail.com,hotmail.com,2015-03-14,0.000887
Becki.Mercado@bogusdomain.com,bogusdomain.com,2014-04-23,0
Becki.Mercado@comcast.com,comcast.com,2015-01-30,0.001331
Becki.Mooney@fakebusiness.ca,fakebusiness.ca,2014-09-28,0
Becki.Mooney@hotmail.com,hotmail.com,2014-11-13,0.000887
Becki.Mooney@mockbusiness.es,mockbusiness.es,2014-05-23,0
Becki.Odom@fakebusiness.ca,fakebusiness.ca,2015-04-27,0
Becki.Odom@gmail.mil,gmail.mil,2015-01-27,0
Becki.Osborne@hotmail.ca,hotmail.ca,2014-07-06,0.00488
Becki.Pierce@liardomain.edu,liardomain.edu,2014-07-17,0
Becki.Potter@gmail.ca,gmail.ca,2014-07-23,0.001331
Becki.Potter@yahoo.uk,yahoo.uk,2014-08-06,0
Becki.Pugh@mockbusiness.ca,mockbusiness.ca,2014-04-08,0
Becki.Ramirez@gmail.com,gmail.com,2015-05-07,0.004437
Becki.Richmond@hotmail.com,hotmail.com,2014-05-09,0.000887
Becki.Rivas@gmail.ca,gmail.ca,2014-03-24,0.001331
Becki.Rivas@yahoo.ca,yahoo.ca,2014-12-25,0.003106
Becki.Sanchez@gmail.com,gmail.com,2015-03-31,0.004437
Becki.Sharp@pseudomail.uk,pseudomail.uk,2015-06-08,0
Becki.Stone@sympatico.com,sympatico.com,2014-06-26,0.000444
Becki.Trevino@hotmail.ca,hotmail.ca,2015-04-13,0.00488
Becki.Watson@phonycompany.com,phonycompany.com,2014-10-06,0.000444
Becki.Yu@gmail.net,gmail.net,2014-03-25,0.001331
Bryon.Aguirre@bogusbusiness.ca,bogusbusiness.ca,2015-06-03,0
Bryon.Aguirre@hotmail.in,hotmail.in,2014-01-28,0
Bryon.Arellano@hotmail.uk,hotmail.uk,2014-12-10,0.000444
Bryon.Baker@gmail.com,gmail.com,2014-08-25,0.004437
Bryon.Baker@gmail.mk,gmail.mk,2014-11-19,0
Bryon.Barron@gmail.com,gmail.com,2015-03-06,0.004437
Bryon.Bass@mockdomain.co,mockdomain.co,2015-03-07,0.000444
Bryon.Becker@comcast.ca,comcast.ca,2015-03-20,0.000444
Bryon.Briggs@gmail.co,gmail.co,2015-05-23,0.000887
Bryon.Clarke@gmail.uk,gmail.uk,2014-10-08,0.000887
Bryon.Clarke@yahoo.com,yahoo.com,2014-03-26,0.001775
Bryon.Cooke@aol.edu,aol.edu,2014-06-18,0
Bryon.English@gmail.uk,gmail.uk,2014-12-11,0.000887
Bryon.Fowler@yahoo.net,yahoo.net,2014-07-01,0.002218
Bryon.Friedman@gmail.ca,gmail.ca,2015-04-21,0.001331
Bryon.Gallegos@phonybusiness.ao,phonybusiness.ao,2015-07-03,0.000444
Bryon.Garrett@liarmail.net,liarmail.net,2014-11-10,0
Bryon.Garrett@phonymail.mobi,phonymail.mobi,2014-08-02,0
Bryon.Gates@hotmail.net,hotmail.net,2014-04-19,0.001775
Bryon.Gomez@gmail.edu,gmail.edu,2015-03-20,0.001775
Bryon.Goodman@fakedomain.ca,fakedomain.ca,2014-06-22,0.000444
Bryon.Goodman@hotmail.ca,hotmail.ca,2014-07-11,0.00488
Bryon.Gray@hotmail.int,hotmail.int,2015-03-27,0
Bryon.Hatfield@hotmail.uk,hotmail.uk,2015-05-11,0.000444
Bryon.Howard@hotmail.net,hotmail.net,2015-02-02,0.001775
Bryon.Hubbard@yahoo.co,yahoo.co,2014-07-23,0.000887
Bryon.Hubbard@yahoo.in,yahoo.in,2014-12-04,0.000444
Bryon.Hubbard@yahoo.int,yahoo.int,2015-03-09,0
Bryon.Long@aol.uk,aol.uk,2014-02-03,0.000444
Bryon.Mata@fakedomain.ca,fakedomain.ca,2014-09-28,0.000444
Bryon.Mcdowell@aol.co,aol.co,2015-07-21,0.000444
Bryon.Mcdowell@mockcompany.com,mockcompany.com,2014-11-28,0
Bryon.Mercado@aol.ca,aol.ca,2015-01-16,0.000887
Bryon.Moon@aol.uk,aol.uk,2014-05-01,0.000444
Bryon.Murillo@fakebusiness.edu,fakebusiness.edu,2014-02-02,0
Bryon.Osborne@yahoo.com,yahoo.com,2014-03-08,0.001775
Bryon.Richmond@mockmail.ca,mockmail.ca,2014-05-22,0
Bryon.Rivas@hotmail.net,hotmail.net,2014-09-19,0.001775
Bryon.Roach@yahoo.com,yahoo.com,2015-02-05,0.001775
Bryon.Ryan@yahoo.com,yahoo.com,2015-07-11,0.001775
Bryon.Short@hotmail.com,hotmail.com,2014-03-20,0.000887
Bryon.Short@yahoo.com,yahoo.com,2014-08-04,0.001775
Bryon.Tate@yahoo.com,yahoo.com,2015-03-01,0.001775
Bryon.Valenzuela@comcast.in,comcast.in,2014-11-13,0
Bryon.Yu@aol.net,aol.net,2015-07-13,0.001331
Carmela.Acevedo@yahoo.ca,yahoo.ca,2015-03-17,0.003106
Carmela.Acevedo@yahoo.com,yahoo.com,2015-02-27,0.001775
Carmela.Barron@yahoo.com,yahoo.com,2014-12-12,0.001775
Carmela.Bass@comcast.biz,comcast.biz,2015-06-30,0.000444
Carmela.Bautista@aol.biz,aol.biz,2015-07-27,0.000444
Carmela.Butler@hotmail.ca,hotmail.ca,2014-06-11,0.00488
Carmela.Clarke@gmail.ca,gmail.ca,2014-10-24,0.001331
Carmela.Cochran@aol.co,aol.co,2014-06-08,0.000444
Carmela.Davidson@fakemail.ca,fakemail.ca,2015-07-17,0.000444
Carmela.Davies@gmail.com,gmail.com,2014-09-05,0.004437
Carmela.Davies@liarbusiness.edu,liarbusiness.edu,2014-12-13,0
Carmela.Davies@phonydomain.net,phonydomain.net,2014-03-09,0
Carmela.Dillon@yahoo.com,yahoo.com,2015-01-23,0.001775
Carmela.Dominguez@mockbusiness.net,mockbusiness.net,2014-07-12,0
Carmela.Dominguez@yahoo.net,yahoo.net,2014-11-19,0.002218
Carmela.English@aol.net,aol.net,2014-03-24,0.001331
Carmela.French@boguscompany.net,boguscompany.net,2014-12-17,0
Carmela.Gray@yahoo.com,yahoo.com,2015-01-16,0.001775
Carmela.Hess@gmail.net,gmail.net,2015-07-26,0.001331
Carmela.Hoover@hotmail.net,hotmail.net,2015-03-10,0.001775
Carmela.Houston@hotmail.net,hotmail.net,2014-11-18,0.001775
Carmela.Houston@mockdomain.net,mockdomain.net,2015-06-01,0
Carmela.Huber@yahoo.com,yahoo.com,2014-08-01,0.001775
Carmela.Hunter@bogusbusiness.uk,bogusbusiness.uk,2014-08-06,0
Carmela.Kirk@gmail.com,gmail.com,2014-06-03,0.004437
Carmela.Kirk@mockbusiness.in,mockbusiness.in,2015-07-19,0.000444
Carmela.Lara@gmail.uk,gmail.uk,2014-12-17,0.000887
Carmela.Macias@gmail.in,gmail.in,2015-01-26,0
Carmela.Mata@yahoo.in,yahoo.in,2014-10-18,0.000444
Carmela.Mercado@hotmail.edu,hotmail.edu,2015-03-05,0.000887
Carmela.Morrison@sympatico.com,sympatico.com,2014-03-25,0.000444
Carmela.Odom@gmail.ca,gmail.ca,2015-05-06,0.001331
Carmela.Odom@hotmail.net,hotmail.net,2014-07-20,0.001775
Carmela.Potter@hotmail.com,hotmail.com,2014-12-11,0.000887
Carmela.Pugh@aol.biz,aol.biz,2014-10-21,0.000444
Carmela.Sanchez@hotmail.mobi,hotmail.mobi,2014-09-26,0.000444
Carmela.Sandoval@yahoo.net,yahoo.net,2015-05-08,0.002218
Carmela.Silva@gmail.com,gmail.com,2015-03-16,0.004437
Carmela.Sosa@gmail.edu,gmail.edu,2014-02-15,0.001775
Carmela.Sosa@yahoo.mobi,yahoo.mobi,2015-01-07,0.000444
Carmela.Tate@yahoo.ca,yahoo.ca,2014-07-17,0.003106
Carmela.Taylor@phonycompany.net,phonycompany.net,2014-04-01,0
Carmela.Taylor@sympatico.ca,sympatico.ca,2014-12-13,0.000444
Carmela.Tucker@liardomain.net,liardomain.net,2015-05-24,0
Carmela.Valentine@aol.net,aol.net,2014-12-30,0.001331
Carmela.Valenzuela@aol.com,aol.com,2015-02-22,0.000444
Carmela.Walsh@hotmail.uk,hotmail.uk,2015-04-22,0.000444
Carmela.Yu@aol.ca,aol.ca,2014-12-07,0.000887
Carmela.Yu@fakecompany.gov,fakecompany.gov,2015-02-26,0
Cassie.Bass@hotmail.ca,hotmail.ca,2014-08-21,0.00488
Cassie.Becker@sympatico.uk,sympatico.uk,2014-04-09,0.000887
Cassie.Butler@fakecompany.uk,fakecompany.uk,2014-06-01,0
Cassie.Butler@hotmail.co,hotmail.co,2014-08-04,0
Cassie.Cantu@gmail.com,gmail.com,2015-07-16,0.004437
Cassie.Case@bogusbusiness.ca,bogusbusiness.ca,2014-09-15,0
Cassie.Case@comcast.net,comcast.net,2014-07-13,0.000444
Cassie.Case@yahoo.net,yahoo.net,2014-10-25,0.002218
Cassie.Cervantes@hotmail.net,hotmail.net,2014-11-14,0.001775
Cassie.Davidson@comcast.net,comcast.net,2014-10-13,0.000444
Cassie.Davies@pseudodomain.net,pseudodomain.net,2014-02-26,0
Cassie.Dominguez@bogusbusiness.ai,bogusbusiness.ai,2014-02-17,0
Cassie.Dyer@phonycompany.com,phonycompany.com,2015-07-20,0.000444
Cassie.Dyer@sympatico.com,sympatico.com,2015-05-09,0.000444
Cassie.Frederick@phonydomain.com,phonydomain.com,2014-07-28,0.000887
Cassie.Gallegos@gmail.net,gmail.net,2014-03-05,0.001331
Cassie.Gallegos@liarcompany.ca,liarcompany.ca,2014-09-13,0.000444
Cassie.Garrett@bogusbusiness.ca,bogusbusiness.ca,2014-06-19,0
Cassie.Gates@yahoo.net,yahoo.net,2014-09-30,0.002218
Cassie.Goodman@phonybusiness.com,phonybusiness.com,2014-07-03,0
Cassie.Hatfield@comcast.eu,comcast.eu,2014-07-13,0
Cassie.Hodges@fakebusiness.edu,fakebusiness.edu,2015-01-08,0
Cassie.Hodges@fakecompany.co,fakecompany.co,2014-12-30,0
Cassie.Houston@gmail.uk,gmail.uk,2014-07-01,0.000887
Cassie.Huber@aol.edu,aol.edu,2014-04-05,0
Cassie.Huber@yahoo.ca,yahoo.ca,2015-06-17,0.003106
Cassie.Kaufman@gmail.ca,gmail.ca,2014-04-19,0.001331
Cassie.Kaufman@yahoo.edu,yahoo.edu,2014-12-20,0
Cassie.Kirk@gmail.ca,gmail.ca,2014-09-05,0.001331
Cassie.Kirk@phonydomain.com,phonydomain.com,2015-02-16,0.000887
Cassie.Long@hotmail.ca,hotmail.ca,2014-03-14,0.00488
Cassie.Mata@fakemail.ca,fakemail.ca,2014-12-19,0.000444
Cassie.Mata@hotmail.co,hotmail.co,2014-05-09,0
Cassie.Mata@hotmail.net,hotmail.net,2014-06-18,0.001775
Cassie.Mcdowell@yahoo.ca,yahoo.ca,2015-03-01,0.003106
Cassie.Melendez@aol.com,aol.com,2014-03-26,0.000444
Cassie.Moon@hotmail.edu,hotmail.edu,2015-01-04,0.000887
Cassie.Murillo@liarmail.com,liarmail.com,2014-04-10,0
Cassie.Myers@comcast.com,comcast.com,2014-09-17,0.001331
Cassie.Myers@liarcompany.com,liarcompany.com,2014-07-28,0
Cassie.Osborne@hotmail.net,hotmail.net,2015-05-04,0.001775
Cassie.Riley@pseudobusiness.com,pseudobusiness.com,2014-02-15,0
Cassie.Rivas@yahoo.mil,yahoo.mil,2015-02-10,0
Cassie.Sanchez@phonybusiness.es,phonybusiness.es,2014-11-22,0
Cassie.Sanchez@yahoo.co,yahoo.co,2015-01-05,0.000887
Cassie.Shields@gmail.com,gmail.com,2014-10-03,0.004437
Cassie.Sosa@sympatico.gov,sympatico.gov,2014-02-02,0.000444
Cassie.Trevino@hotmail.net,hotmail.net,2015-07-23,0.001775
Cassie.Valenzuela@hotmail.co,hotmail.co,2014-08-10,0
Cassie.Walsh@comcast.com,comcast.com,2014-05-28,0.001331
Cassie.Watson@hotmail.gov,hotmail.gov,2015-01-01,0.000444
Chante.Acevedo@mockdomain.ca,mockdomain.ca,2014-02-10,0
Chante.Baker@sympatico.com,sympatico.com,2015-05-28,0.000444
Chante.Becker@boguscompany.in,boguscompany.in,2015-03-24,0
Chante.Cain@phonycompany.ca,phonycompany.ca,2015-05-27,0.000887
Chante.Dillon@pseudodomain.com,pseudodomain.com,2014-09-18,0
Chante.Fowler@yahoo.biz,yahoo.biz,2014-06-08,0
Chante.Gates@yahoo.mil,yahoo.mil,2014-07-08,0
Chante.Gomez@yahoo.net,yahoo.net,2014-03-21,0.002218
Chante.Harris@gmail.ca,gmail.ca,2014-02-05,0.001331
Chante.Hess@hotmail.ca,hotmail.ca,2014-07-21,0.00488
Chante.Hess@hushmail.edu,hushmail.edu,2014-09-14,0
Chante.Houston@hotmail.com,hotmail.com,2014-06-28,0.000887
Chante.Hubbard@fakemail.com,fakemail.com,2014-02-16,0
Chante.Hubbard@yahoo.uk,yahoo.uk,2015-06-21,0
Chante.Hunter@gmail.uk,gmail.uk,2015-02-18,0.000887
Chante.Hunter@yahoo.ca,yahoo.ca,2014-04-14,0.003106
Chante.Long@gmail.com,gmail.com,2014-05-01,0.004437
Chante.Manning@hotmail.net,hotmail.net,2014-11-04,0.001775
Chante.Mcdowell@yahoo.uk,yahoo.uk,2014-08-11,0
Chante.Melendez@hotmail.ai,hotmail.ai,2014-11-15,0
Chante.Mooney@gmail.edu,gmail.edu,2015-07-15,0.001775
Chante.Murillo@sympatico.com,sympatico.com,2014-03-11,0.000444
Chante.Myers@liardomain.ca,liardomain.ca,2015-07-22,0.000444
Chante.Pham@yahoo.ca,yahoo.ca,2015-06-10,0.003106
Chante.Pugh@sympatico.gov,sympatico.gov,2015-07-22,0.000444
Chante.Pugh@yahoo.aero,yahoo.aero,2014-12-10,0
Chante.Sharp@hushmail.uk,hushmail.uk,2014-02-20,0
Chante.Shields@gmail.com,gmail.com,2015-04-08,0.004437
Chante.Tate@hotmail.uk,hotmail.uk,2014-10-12,0.000444
Chante.Tucker@msn.com,msn.com,2015-05-23,0
Chante.Valentine@fakecompany.edu,fakecompany.edu,2015-05-06,0
Chante.Valentine@yahoo.co,yahoo.co,2014-06-04,0.000887
Chante.Valenzuela@hotmail.net,hotmail.net,2015-01-20,0.001775
Chante.Velez@yahoo.ca,yahoo.ca,2014-03-03,0.003106
Chante.Walsh@comcast.com,comcast.com,2015-07-07,0.001331
Clarinda.Acevedo@hotmail.mk,hotmail.mk,2014-12-23,0
Clarinda.Acevedo@yahoo.com,yahoo.com,2015-04-22,0.001775
Clarinda.Bass@bogusmail.ca,bogusmail.ca,2014-04-03,0
Clarinda.Bass@gmail.net,gmail.net,2015-05-15,0.001331
Clarinda.Bautista@gmail.edu,gmail.edu,2015-04-14,0.001775
Clarinda.Butler@gmail.uk,gmail.uk,2015-02-25,0.000887
Clarinda.Clarke@sympatico.ca,sympatico.ca,2015-05-19,0.000444
Clarinda.Clarke@yahoo.net,yahoo.net,2015-02-02,0.002218
Clarinda.Cooke@hotmail.net,hotmail.net,2014-07-17,0.001775
Clarinda.Cooke@yahoo.edu,yahoo.edu,2014-10-27,0
Clarinda.Davies@hotmail.edu,hotmail.edu,2015-01-19,0.000887
Clarinda.Davies@sympatico.edu,sympatico.edu,2014-01-27,0
Clarinda.Dillon@comcast.edu,comcast.edu,2015-04-30,0.000444
Clarinda.Dyer@yahoo.com,yahoo.com,2014-05-01,0.001775
Clarinda.Flynn@hotmail.com,hotmail.com,2014-05-11,0.000887
Clarinda.Fowler@gmail.net,gmail.net,2015-04-30,0.001331
Clarinda.Gallegos@comcast.in,comcast.in,2014-11-21,0
Clarinda.Gallegos@hotmail.net,hotmail.net,2014-03-01,0.001775
Clarinda.Garrett@gmail.net,gmail.net,2015-03-28,0.001331
Clarinda.Garrison@yahoo.ao,yahoo.ao,2014-12-20,0.000444
Clarinda.Harris@hotmail.in,hotmail.in,2015-06-24,0
Clarinda.Hebert@yahoo.in,yahoo.in,2015-03-29,0.000444
Clarinda.Hoover@comcast.net,comcast.net,2014-05-08,0.000444
Clarinda.Hubbard@aol.com,aol.com,2015-02-03,0.000444
Clarinda.Kaufman@hotmail.net,hotmail.net,2014-05-06,0.001775
Clarinda.Kaufman@msn.mobi,msn.mobi,2014-06-25,0
Clarinda.Kirk@phonydomain.ai,phonydomain.ai,2014-07-13,0.000444
Clarinda.Lara@aol.edu,aol.edu,2014-11-08,0
Clarinda.Manning@gmail.mil,gmail.mil,2014-09-16,0
Clarinda.Melendez@hotmail.com,hotmail.com,2015-04-06,0.000887
Clarinda.Owen@pseudomail.com,pseudomail.com,2014-11-18,0
Clarinda.Pierce@comcast.ca,comcast.ca,2014-08-25,0.000444
Clarinda.Riley@aol.net,aol.net,2015-01-20,0.001331
Clarinda.Riley@comcast.net,comcast.net,2014-07-17,0.000444
Clarinda.Roach@hotmail.ca,hotmail.ca,2015-04-04,0.00488
Clarinda.Ryan@hotmail.uk,hotmail.uk,2015-05-29,0.000444
Clarinda.Sandoval@hotmail.uk,hotmail.uk,2015-04-24,0.000444
Clarinda.Sandoval@phonymail.net,phonymail.net,2014-06-09,0
Clarinda.Short@hotmail.uk,hotmail.uk,2015-03-04,0.000444
Clarinda.Silva@sympatico.co,sympatico.co,2014-11-10,0.000444
